State,Year,Group_Name,Sub_Group_Name,Cases_Acquitted,Cases_Chargesheeted,Cases_Convicted,Pending_Investigation_End,Pending_Trial_End,Cases_Reported,Cases_Sent_for_Trial,Trials_Completed,Total_Cases_for_Trial
Sikkim,2001,Dowry Deaths,03. Dowry Deaths,0,0,0,0,0,0,0,0,0
Tamil Nadu,2001,Dowry Deaths,03. Dowry Deaths,98,174,44,100,557,191,174,142,705
Tripura,2001,Dowry Deaths,03. Dowry Deaths,7,13,2,26,31,16,13,9,40
Uttar Pradesh,2001,Dowry Deaths,03. Dowry Deaths,800,1784,727,445,7226,2211,1784,1527,8854
Uttarakhand,2001,Dowry Deaths,03. Dowry Deaths,36,54,24,7,133,56,54,60,201
West Bengal,2001,Dowry Deaths,03. Dowry Deaths,139,279,25,269,1100,265,279,164,1264
Andaman & Nicobar Islands,2002,Dowry Deaths,03. Dowry Deaths,0,0,0,0,2,0,0,0,2
Andhra Pradesh,2002,Dowry Deaths,03. Dowry Deaths,360,443,61,203,1089,449,443,421,1517
Arunachal Pradesh,2002,Dowry Deaths,03. Dowry Deaths,0,0,0,0,0,0,0,0,0
Assam,2002,Dowry Deaths,03. Dowry Deaths,10,36,6,111,114,70,36,16,130
Bihar,2002,Dowry Deaths,03. Dowry Deaths,245,650,80,593,2633,927,650,325,2959
Chandigarh,2002,Dowry Deaths,03. Dowry Deaths,2,0,2,1,3,1,0,4,7
Chhattisgarh,2002,Dowry Deaths,03. Dowry Deaths,49,83,22,11,220,85,83,71,296
Dadra & Nagar Haveli,2002,Dowry Deaths,03. Dowry Deaths,0,0,0,0,2,0,0,0,2
Daman & Diu,2002,Dowry Deaths,03. Dowry Deaths,0,0,0,0,0,0,0,0,0
Delhi,2002,Dowry Deaths,03. Dowry Deaths,15,122,12,57,600,135,122,27,627
Goa,2002,Dowry Deaths,03. Dowry Deaths,0,0,0,2,8,2,0,0,8
Gujarat,2002,Dowry Deaths,03. Dowry Deaths,39,59,3,4,495,62,59,42,540
Haryana,2002,Dowry Deaths,03. Dowry Deaths,210,227,59,20,604,256,227,269,888
Himachal Pradesh,2002,Dowry Deaths,03. Dowry Deaths,0,7,3,2,30,6,7,3,33
Jammu & Kashmir,2002,Dowry Deaths,03. Dowry Deaths,4,11,1,8,21,18,11,5,26
Jharkhand,2002,Dowry Deaths,03. Dowry Deaths,154,238,78,94,461,275,238,232,693
Karnataka,2002,Dowry Deaths,03. Dowry Deaths,131,198,13,70,690,233,198,144,834
Kerala,2002,Dowry Deaths,03. Dowry Deaths,7,17,2,19,126,17,17,9,136
Lakshadweep,2002,Dowry Deaths,03. Dowry Deaths,0,0,0,0,0,0,0,0,0
Madhya Pradesh,2002,Dowry Deaths,03. Dowry Deaths,391,696,203,95,1733,674,696,594,2334
Maharashtra,2002,Dowry Deaths,03. Dowry Deaths,277,312,36,79,3048,303,312,313,3372
Manipur,2002,Dowry Deaths,03. Dowry Deaths,0,0,0,0,0,0,0,0,0
Meghalaya,2002,Dowry Deaths,03. Dowry Deaths,0,0,0,1,0,0,0,0,0
Mizoram,2002,Dowry Deaths,03. Dowry Deaths,0,0,0,0,0,0,0,0,0
Nagaland,2002,Dowry Deaths,03. Dowry Deaths,0,0,0,0,0,0,0,0,0
Odisha,2002,Dowry Deaths,03. Dowry Deaths,138,231,32,135,796,248,231,170,966
Puducherry,2002,Dowry Deaths,03. Dowry Deaths,2,3,0,2,5,5,3,2,7
Punjab,2002,Dowry Deaths,03. Dowry Deaths,68,128,70,106,323,166,128,138,463
Rajasthan,2002,Dowry Deaths,03. Dowry Deaths,189,298,139,57,1284,399,298,328,1614
Sikkim,2002,Dowry Deaths,03. Dowry Deaths,0,0,0,0,0,0,0,0,0
Tamil Nadu,2002,Dowry Deaths,03. Dowry Deaths,137,244,76,84,588,243,244,213,801
Tripura,2002,Dowry Deaths,03. Dowry Deaths,9,18,7,23,33,16,18,16,49
Uttar Pradesh,2002,Dowry Deaths,03. Dowry Deaths,929,1818,902,200,7148,1893,1818,1831,9044
Uttarakhand,2002,Dowry Deaths,03. Dowry Deaths,19,53,30,11,137,66,53,49,186
West Bengal,2002,Dowry Deaths,03. Dowry Deaths,237,273,33,234,1103,273,273,270,1373
Andaman & Nicobar Islands,2003,Dowry Deaths,03. Dowry Deaths,0,0,0,0,2,0,0,0,2
Andhra Pradesh,2003,Dowry Deaths,03. Dowry Deaths,336,362,71,263,1041,466,362,407,1451
Arunachal Pradesh,2003,Dowry Deaths,03. Dowry Deaths,0,0,0,0,0,0,0,0,0
Assam,2003,Dowry Deaths,03. Dowry Deaths,18,32,8,125,120,60,32,26,146
Bihar,2003,Dowry Deaths,03. Dowry Deaths,390,595,101,722,2722,909,595,491,3228
Chandigarh,2003,Dowry Deaths,03. Dowry Deaths,0,1,0,0,4,1,1,0,4
Chhattisgarh,2003,Dowry Deaths,03. Dowry Deaths,20,80,20,10,254,79,80,40,300
Dadra & Nagar Haveli,2003,Dowry Deaths,03. Dowry Deaths,0,0,0,0,2,0,0,0,2
Daman & Diu,2003,Dowry Deaths,03. Dowry Deaths,0,0,0,1,0,1,0,0,0
Delhi,2003,Dowry Deaths,03. Dowry Deaths,23,123,9,57,691,130,123,32,723
Goa,2003,Dowry Deaths,03. Dowry Deaths,1,2,0,2,9,2,2,1,10
Gujarat,2003,Dowry Deaths,03. Dowry Deaths,44,49,4,6,494,54,49,48,544
Haryana,2003,Dowry Deaths,03. Dowry Deaths,151,202,60,7,595,222,202,211,806
Himachal Pradesh,2003,Dowry Deaths,03. Dowry Deaths,7,6,0,2,29,6,6,7,36
Jammu & Kashmir,2003,Dowry Deaths,03. Dowry Deaths,9,14,4,4,22,10,14,13,35
Jharkhand,2003,Dowry Deaths,03. Dowry Deaths,133,225,52,121,488,262,225,185,686
Karnataka,2003,Dowry Deaths,03. Dowry Deaths,138,177,24,64,702,194,177,162,867
Kerala,2003,Dowry Deaths,03. Dowry Deaths,7,17,4,33,132,33,17,11,143
Lakshadweep,2003,Dowry Deaths,03. Dowry Deaths,0,0,0,0,0,0,0,0,0
Madhya Pradesh,2003,Dowry Deaths,03. Dowry Deaths,446,601,217,124,1637,648,601,663,2325
Maharashtra,2003,Dowry Deaths,03. Dowry Deaths,319,367,81,78,3005,368,367,400,3415
Manipur,2003,Dowry Deaths,03. Dowry Deaths,0,0,0,0,0,0,0,0,0
Meghalaya,2003,Dowry Deaths,03. Dowry Deaths,0,0,0,1,0,0,0,0,0
Mizoram,2003,Dowry Deaths,03. Dowry Deaths,0,0,0,0,0,0,0,0,0
Nagaland,2003,Dowry Deaths,03. Dowry Deaths,0,0,0,0,0,0,0,0,0
Odisha,2003,Dowry Deaths,03. Dowry Deaths,138,286,48,112,896,279,286,186,1082
Puducherry,2003,Dowry Deaths,03. Dowry Deaths,0,1,0,2,6,1,1,0,6
Punjab,2003,Dowry Deaths,03. Dowry Deaths,80,125,101,78,262,110,125,181,448
Rajasthan,2003,Dowry Deaths,03. Dowry Deaths,169,270,121,80,1261,389,270,290,1554
Sikkim,2003,Dowry Deaths,03. Dowry Deaths,0,0,0,0,0,0,0,0,0
Tamil Nadu,2003,Dowry Deaths,03. Dowry Deaths,178,217,66,82,570,220,217,244,815
Tripura,2003,Dowry Deaths,03. Dowry Deaths,5,17,7,26,38,20,17,12,50
Uttar Pradesh,2003,Dowry Deaths,03. Dowry Deaths,759,1111,649,255,6805,1322,1111,1408,8259
Uttarakhand,2003,Dowry Deaths,03. Dowry Deaths,13,79,25,15,178,93,79,38,216
West Bengal,2003,Dowry Deaths,03. Dowry Deaths,182,313,36,241,1198,329,313,218,1416
Andaman & Nicobar Islands,2004,Dowry Deaths,03. Dowry Deaths,0,0,1,0,1,0,0,1,2
Andhra Pradesh,2004,Dowry Deaths,03. Dowry Deaths,341,417,66,295,1049,512,417,407,1458
Arunachal Pradesh,2004,Dowry Deaths,03. Dowry Deaths,0,0,0,0,0,0,0,0,0
Assam,2004,Dowry Deaths,03. Dowry Deaths,18,63,14,121,151,74,63,32,183
Bihar,2004,Dowry Deaths,03. Dowry Deaths,351,490,88,1128,2771,1029,490,439,3212
Chandigarh,2004,Dowry Deaths,03. Dowry Deaths,2,4,0,2,6,6,4,2,8
Chhattisgarh,2004,Dowry Deaths,03. Dowry Deaths,57,78,32,2,242,71,78,89,332
Dadra & Nagar Haveli,2004,Dowry Deaths,03. Dowry Deaths,0,0,0,0,2,0,0,0,2
Daman & Diu,2004,Dowry Deaths,03. Dowry Deaths,0,0,0,1,0,0,0,0,0
Delhi,2004,Dowry Deaths,03. Dowry Deaths,43,118,29,65,737,126,118,72,809
Goa,2004,Dowry Deaths,03. Dowry Deaths,4,0,0,3,5,2,0,4,9
Gujarat,2004,Dowry Deaths,03. Dowry Deaths,49,57,5,5,496,58,57,54,551
Haryana,2004,Dowry Deaths,03. Dowry Deaths,220,209,63,24,521,251,209,283,804
Himachal Pradesh,2004,Dowry Deaths,03. Dowry Deaths,6,7,1,2,29,8,7,7,36
Jammu & Kashmir,2004,Dowry Deaths,03. Dowry Deaths,11,9,2,4,18,9,9,13,31
Jharkhand,2004,Dowry Deaths,03. Dowry Deaths,133,225,52,161,515,275,225,185,713
Karnataka,2004,Dowry Deaths,03. Dowry Deaths,198,214,35,68,682,259,214,233,916
Kerala,2004,Dowry Deaths,03. Dowry Deaths,8,39,5,22,158,31,39,13,171
Lakshadweep,2004,Dowry Deaths,03. Dowry Deaths,0,0,0,0,0,0,0,0,0
Madhya Pradesh,2004,Dowry Deaths,03. Dowry Deaths,505,753,260,114,1620,751,753,765,2390
Maharashtra,2004,Dowry Deaths,03. Dowry Deaths,285,322,36,70,3005,314,322,321,3327
Manipur,2004,Dowry Deaths,03. Dowry Deaths,0,0,0,0,0,0,0,0,0
Meghalaya,2004,Dowry Deaths,03. Dowry Deaths,0,0,0,3,0,2,0,0,0
Mizoram,2004,Dowry Deaths,03. Dowry Deaths,0,0,0,0,0,0,0,0,0
Nagaland,2004,Dowry Deaths,03. Dowry Deaths,0,0,0,0,0,0,0,0,0
Odisha,2004,Dowry Deaths,03. Dowry Deaths,202,298,44,116,948,319,298,246,1194
Puducherry,2004,Dowry Deaths,03. Dowry Deaths,1,3,0,5,8,6,3,1,9
Punjab,2004,Dowry Deaths,03. Dowry Deaths,45,104,47,72,271,113,104,92,366
Rajasthan,2004,Dowry Deaths,03. Dowry Deaths,165,320,126,70,1284,379,320,291,1581
Sikkim,2004,Dowry Deaths,03. Dowry Deaths,0,0,0,0,0,0,0,0,0
Tamil Nadu,2004,Dowry Deaths,03. Dowry Deaths,134,213,42,84,607,225,213,176,783
Tripura,2004,Dowry Deaths,03. Dowry Deaths,8,22,1,19,51,20,22,9,60
Uttar Pradesh,2004,Dowry Deaths,03. Dowry Deaths,707,1393,727,280,6695,1708,1393,1434,8198
Uttarakhand,2004,Dowry Deaths,03. Dowry Deaths,13,65,30,16,200,82,65,43,243
West Bengal,2004,Dowry Deaths,03. Dowry Deaths,165,344,29,289,1348,396,344,194,1542
Andaman & Nicobar Islands,2005,Dowry Deaths,03. Dowry Deaths,0,0,0,0,1,0,0,0,1
Andhra Pradesh,2005,Dowry Deaths,03. Dowry Deaths,429,473,118,238,972,443,473,547,1522
Arunachal Pradesh,2005,Dowry Deaths,03. Dowry Deaths,0,0,0,0,0,0,0,0,0
Assam,2005,Dowry Deaths,03. Dowry Deaths,23,61,15,141,174,99,61,38,212
Bihar,2005,Dowry Deaths,03. Dowry Deaths,391,680,110,1363,2947,1014,680,501,3451
Chandigarh,2005,Dowry Deaths,03. Dowry Deaths,6,4,0,1,4,3,4,6,10
Chhattisgarh,2005,Dowry Deaths,03. Dowry Deaths,36,91,26,10,268,100,91,62,333
Dadra & Nagar Haveli,2005,Dowry Deaths,03. Dowry Deaths,1,0,0,0,1,0,0,1,2
Daman & Diu,2005,Dowry Deaths,03. Dowry Deaths,0,1,0,1,2,1,1,0,2
Delhi,2005,Dowry Deaths,03. Dowry Deaths,85,95,40,81,707,114,95,125,832
Goa,2005,Dowry Deaths,03. Dowry Deaths,2,3,0,2,6,2,3,2,8
Gujarat,2005,Dowry Deaths,03. Dowry Deaths,55,48,10,5,479,48,48,65,544
Haryana,2005,Dowry Deaths,03. Dowry Deaths,196,185,52,17,458,212,185,248,706
Himachal Pradesh,2005,Dowry Deaths,03. Dowry Deaths,3,1,1,2,26,2,1,4,30
Jammu & Kashmir,2005,Dowry Deaths,03. Dowry Deaths,1,7,1,2,23,5,7,2,25
Jharkhand,2005,Dowry Deaths,03. Dowry Deaths,15,166,71,232,585,257,166,86,681
Karnataka,2005,Dowry Deaths,03. Dowry Deaths,261,233,63,77,591,261,233,324,915
Kerala,2005,Dowry Deaths,03. Dowry Deaths,24,18,10,25,142,21,18,34,176
Lakshadweep,2005,Dowry Deaths,03. Dowry Deaths,0,0,0,0,0,0,0,0,0
Madhya Pradesh,2005,Dowry Deaths,03. Dowry Deaths,476,715,262,127,1578,739,715,738,2335
Maharashtra,2005,Dowry Deaths,03. Dowry Deaths,266,336,34,72,3039,341,336,300,3341
Manipur,2005,Dowry Deaths,03. Dowry Deaths,0,0,0,0,0,0,0,0,0
Meghalaya,2005,Dowry Deaths,03. Dowry Deaths,0,0,0,4,0,1,0,0,0
Mizoram,2005,Dowry Deaths,03. Dowry Deaths,0,4,2,0,2,4,4,2,4
Nagaland,2005,Dowry Deaths,03. Dowry Deaths,0,0,0,0,0,0,0,0,0
Odisha,2005,Dowry Deaths,03. Dowry Deaths,175,268,35,168,1006,334,268,210,1216
Puducherry,2005,Dowry Deaths,03. Dowry Deaths,0,2,0,7,10,4,2,0,10
Punjab,2005,Dowry Deaths,03. Dowry Deaths,37,89,28,66,295,99,89,65,360
Rajasthan,2005,Dowry Deaths,03. Dowry Deaths,143,281,119,60,1299,361,281,262,1565
Sikkim,2005,Dowry Deaths,03. Dowry Deaths,0,0,0,0,0,0,0,0,0
Tamil Nadu,2005,Dowry Deaths,03. Dowry Deaths,171,212,71,80,571,215,212,242,813
Tripura,2005,Dowry Deaths,03. Dowry Deaths,6,28,7,16,66,34,28,13,79
Uttar Pradesh,2005,Dowry Deaths,03. Dowry Deaths,621,1367,678,268,6661,1564,1367,1299,8062
Uttarakhand,2005,Dowry Deaths,03. Dowry Deaths,29,48,14,15,205,63,48,43,248
West Bengal,2005,Dowry Deaths,03. Dowry Deaths,267,389,94,331,1376,446,389,361,1737
Andaman & Nicobar Islands,2006,Dowry Deaths,03. Dowry Deaths,0,0,0,0,1,0,0,0,1
Andhra Pradesh,2006,Dowry Deaths,03. Dowry Deaths,280,426,73,280,1044,519,426,353,1398
Arunachal Pradesh,2006,Dowry Deaths,03. Dowry Deaths,0,0,0,1,0,1,0,0,0
Assam,2006,Dowry Deaths,03. Dowry Deaths,21,74,30,153,195,105,74,51,248
Bihar,2006,Dowry Deaths,03. Dowry Deaths,512,749,138,1684,3045,1188,749,650,3696
Chandigarh,2006,Dowry Deaths,03. Dowry Deaths,3,9,0,2,10,10,9,3,13
Chhattisgarh,2006,Dowry Deaths,03. Dowry Deaths,48,99,23,14,292,103,99,71,367
Dadra & Nagar Haveli,2006,Dowry Deaths,03. Dowry Deaths,0,0,0,1,1,1,0,0,1
Daman & Diu,2006,Dowry Deaths,03. Dowry Deaths,0,1,0,0,2,0,1,0,2
Delhi,2006,Dowry Deaths,03. Dowry Deaths,73,134,47,71,721,137,134,120,841
Goa,2006,Dowry Deaths,03. Dowry Deaths,2,1,0,1,5,0,1,2,7
Gujarat,2006,Dowry Deaths,03. Dowry Deaths,31,43,3,6,487,50,43,34,522
Haryana,2006,Dowry Deaths,03. Dowry Deaths,129,215,69,34,473,255,215,198,673
Himachal Pradesh,2006,Dowry Deaths,03. Dowry Deaths,4,4,1,1,25,3,4,5,30
Jammu & Kashmir,2006,Dowry Deaths,03. Dowry Deaths,2,8,0,3,29,10,8,2,31
Jharkhand,2006,Dowry Deaths,03. Dowry Deaths,195,170,60,318,491,281,170,255,755
Karnataka,2006,Dowry Deaths,03. Dowry Deaths,242,213,41,80,520,244,213,283,804
Kerala,2006,Dowry Deaths,03. Dowry Deaths,19,21,6,26,138,25,21,25,163
Lakshadweep,2006,Dowry Deaths,03. Dowry Deaths,0,0,0,0,0,0,0,0,0
Madhya Pradesh,2006,Dowry Deaths,03. Dowry Deaths,398,735,280,147,1628,764,735,678,2313
Maharashtra,2006,Dowry Deaths,03. Dowry Deaths,245,374,27,85,3141,387,374,272,3413
Manipur,2006,Dowry Deaths,03. Dowry Deaths,0,0,0,0,0,0,0,0,0
Meghalaya,2006,Dowry Deaths,03. Dowry Deaths,0,3,0,6,3,6,3,0,3
Mizoram,2006,Dowry Deaths,03. Dowry Deaths,0,0,0,0,0,0,0,0,2
Nagaland,2006,Dowry Deaths,03. Dowry Deaths,0,0,0,0,0,0,0,0,0
Odisha,2006,Dowry Deaths,03. Dowry Deaths,171,317,44,300,1108,457,317,215,1323
Puducherry,2006,Dowry Deaths,03. Dowry Deaths,2,7,2,3,13,3,7,4,17
Punjab,2006,Dowry Deaths,03. Dowry Deaths,40,106,31,80,330,130,106,71,401
Rajasthan,2006,Dowry Deaths,03. Dowry Deaths,163,327,127,39,1329,394,327,290,1626
Sikkim,2006,Dowry Deaths,03. Dowry Deaths,0,0,0,0,0,0,0,0,0
Tamil Nadu,2006,Dowry Deaths,03. Dowry Deaths,116,169,48,93,576,187,169,164,740
Tripura,2006,Dowry Deaths,03. Dowry Deaths,9,22,10,19,69,35,22,19,88
Uttar Pradesh,2006,Dowry Deaths,03. Dowry Deaths,671,1464,695,339,6695,1798,1464,1366,8125
Uttarakhand,2006,Dowry Deaths,03. Dowry Deaths,15,51,18,30,222,80,51,33,256
West Bengal,2006,Dowry Deaths,03. Dowry Deaths,207,478,57,282,1590,445,478,264,1854
Andaman & Nicobar Islands,2007,Dowry Deaths,03. Dowry Deaths,0,0,0,1,1,1,0,0,1
Andhra Pradesh,2007,Dowry Deaths,03. Dowry Deaths,445,573,97,273,1061,613,573,542,1617
Arunachal Pradesh,2007,Dowry Deaths,03. Dowry Deaths,0,0,0,0,0,0,0,0,0
Assam,2007,Dowry Deaths,03. Dowry Deaths,39,72,20,161,208,100,72,59,267
Bihar,2007,Dowry Deaths,03. Dowry Deaths,475,1028,167,1572,3426,1172,1028,642,4073
Chandigarh,2007,Dowry Deaths,03. Dowry Deaths,1,2,3,1,8,1,2,4,12
Chhattisgarh,2007,Dowry Deaths,03. Dowry Deaths,65,106,23,6,309,100,106,88,398
Dadra & Nagar Haveli,2007,Dowry Deaths,03. Dowry Deaths,0,0,0,1,1,0,0,0,1
Daman & Diu,2007,Dowry Deaths,03. Dowry Deaths,0,1,0,0,3,1,1,0,3
Delhi,2007,Dowry Deaths,03. Dowry Deaths,83,123,56,78,705,138,123,139,844
Goa,2007,Dowry Deaths,03. Dowry Deaths,0,0,0,3,5,2,0,0,5
Gujarat,2007,Dowry Deaths,03. Dowry Deaths,27,38,4,5,493,42,38,31,525
Haryana,2007,Dowry Deaths,03. Dowry Deaths,159,238,62,28,488,269,238,221,711
Himachal Pradesh,2007,Dowry Deaths,03. Dowry Deaths,3,5,1,3,26,8,5,4,30
Jammu & Kashmir,2007,Dowry Deaths,03. Dowry Deaths,4,7,0,3,32,9,7,4,36
Jharkhand,2007,Dowry Deaths,03. Dowry Deaths,194,223,92,333,425,303,223,286,714
Karnataka,2007,Dowry Deaths,03. Dowry Deaths,179,189,27,108,501,251,189,206,709
Kerala,2007,Dowry Deaths,03. Dowry Deaths,24,27,4,24,137,27,27,28,165
Lakshadweep,2007,Dowry Deaths,03. Dowry Deaths,0,0,0,0,0,0,0,0,0
Madhya Pradesh,2007,Dowry Deaths,03. Dowry Deaths,412,738,279,140,1668,742,738,691,2366
Maharashtra,2007,Dowry Deaths,03. Dowry Deaths,256,376,30,142,3229,436,376,286,3517
Manipur,2007,Dowry Deaths,03. Dowry Deaths,0,0,0,0,0,0,0,0,0
Meghalaya,2007,Dowry Deaths,03. Dowry Deaths,0,1,0,5,4,2,1,0,4
Mizoram,2007,Dowry Deaths,03. Dowry Deaths,0,0,0,0,0,0,0,0,0
Nagaland,2007,Dowry Deaths,03. Dowry Deaths,0,0,0,0,0,0,0,0,0
Odisha,2007,Dowry Deaths,03. Dowry Deaths,143,338,31,399,1272,461,338,174,1446
Puducherry,2007,Dowry Deaths,03. Dowry Deaths,3,3,1,2,12,2,3,4,16
Punjab,2007,Dowry Deaths,03. Dowry Deaths,54,119,43,75,352,133,119,97,449
Rajasthan,2007,Dowry Deaths,03. Dowry Deaths,126,330,118,52,1412,439,330,244,1659
Sikkim,2007,Dowry Deaths,03. Dowry Deaths,0,0,0,0,0,0,0,0,0
Tamil Nadu,2007,Dowry Deaths,03. Dowry Deaths,154,189,64,111,547,208,189,218,765
Tripura,2007,Dowry Deaths,03. Dowry Deaths,20,21,11,33,59,36,21,31,90
Uttar Pradesh,2007,Dowry Deaths,03. Dowry Deaths,733,1768,739,243,6947,2076,1768,1472,8463
Uttarakhand,2007,Dowry Deaths,03. Dowry Deaths,43,74,28,20,225,70,74,71,296
West Bengal,2007,Dowry Deaths,03. Dowry Deaths,309,459,46,254,1694,451,459,355,2049
Andaman & Nicobar Islands,2008,Dowry Deaths,03. Dowry Deaths,0,2,0,1,3,2,2,0,3
Andhra Pradesh,2008,Dowry Deaths,03. Dowry Deaths,382,471,67,293,1083,556,471,449,1532
Arunachal Pradesh,2008,Dowry Deaths,03. Dowry Deaths,0,0,0,0,0,0,0,0,0
Assam,2008,Dowry Deaths,03. Dowry Deaths,24,83,20,172,247,103,83,44,291
Bihar,2008,Dowry Deaths,03. Dowry Deaths,512,783,177,1746,3515,1210,783,689,4209
Chandigarh,2008,Dowry Deaths,03. Dowry Deaths,2,3,1,1,8,3,3,3,11
Chhattisgarh,2008,Dowry Deaths,03. Dowry Deaths,51,92,25,20,324,106,92,76,401
Dadra & Nagar Haveli,2008,Dowry Deaths,03. Dowry Deaths,0,0,0,1,1,0,0,0,1
Daman & Diu,2008,Dowry Deaths,03. Dowry Deaths,2,0,0,0,1,0,0,2,3
Delhi,2008,Dowry Deaths,03. Dowry Deaths,13,115,13,89,794,129,115,26,820
Goa,2008,Dowry Deaths,03. Dowry Deaths,0,3,0,2,8,2,3,0,8
Gujarat,2008,Dowry Deaths,03. Dowry Deaths,14,27,1,2,503,27,27,15,520
Haryana,2008,Dowry Deaths,03. Dowry Deaths,169,258,69,33,503,302,258,238,746
Himachal Pradesh,2008,Dowry Deaths,03. Dowry Deaths,5,5,3,1,23,3,5,8,31
Jammu & Kashmir,2008,Dowry Deaths,03. Dowry Deaths,1,15,0,8,45,21,15,1,47
Jharkhand,2008,Dowry Deaths,03. Dowry Deaths,154,219,55,352,419,266,219,209,644
Karnataka,2008,Dowry Deaths,03. Dowry Deaths,161,244,24,91,558,259,244,185,745
Kerala,2008,Dowry Deaths,03. Dowry Deaths,9,25,2,28,151,31,25,11,162
Lakshadweep,2008,Dowry Deaths,03. Dowry Deaths,0,0,0,0,0,0,0,0,0
Madhya Pradesh,2008,Dowry Deaths,03. Dowry Deaths,398,790,295,150,1759,805,790,693,2458
Maharashtra,2008,Dowry Deaths,03. Dowry Deaths,253,397,24,128,3348,390,397,277,3626
Manipur,2008,Dowry Deaths,03. Dowry Deaths,0,0,0,1,0,1,0,0,0
Meghalaya,2008,Dowry Deaths,03. Dowry Deaths,0,1,0,4,5,2,1,0,5
Mizoram,2008,Dowry Deaths,03. Dowry Deaths,0,0,0,0,0,0,0,0,0
Nagaland,2008,Dowry Deaths,03. Dowry Deaths,0,0,0,0,0,0,0,0,0
Odisha,2008,Dowry Deaths,03. Dowry Deaths,214,333,37,455,1354,401,333,251,1605
Puducherry,2008,Dowry Deaths,03. Dowry Deaths,0,0,0,4,12,2,0,0,12
Punjab,2008,Dowry Deaths,03. Dowry Deaths,46,88,39,93,355,128,88,85,440
Rajasthan,2008,Dowry Deaths,03. Dowry Deaths,138,348,121,50,1491,439,348,259,1760
Sikkim,2008,Dowry Deaths,03. Dowry Deaths,0,0,0,0,0,0,0,0,0
Tamil Nadu,2008,Dowry Deaths,03. Dowry Deaths,140,187,44,125,550,207,187,184,734
Tripura,2008,Dowry Deaths,03. Dowry Deaths,13,31,2,18,75,16,31,15,90
Uttar Pradesh,2008,Dowry Deaths,03. Dowry Deaths,849,1777,870,279,6937,2237,1777,1719,8724
Uttarakhand,2008,Dowry Deaths,03. Dowry Deaths,36,64,19,18,234,73,64,55,289
West Bengal,2008,Dowry Deaths,03. Dowry Deaths,290,339,40,355,1703,451,339,330,2033
Andaman & Nicobar Islands,2009,Dowry Deaths,03. Dowry Deaths,0,1,0,1,4,1,1,0,4
Andhra Pradesh,2009,Dowry Deaths,03. Dowry Deaths,378,500,62,309,1143,546,500,440,1583
Arunachal Pradesh,2009,Dowry Deaths,03. Dowry Deaths,0,0,0,0,0,0,0,0,0
Assam,2009,Dowry Deaths,03. Dowry Deaths,24,95,20,216,298,170,95,44,342
Bihar,2009,Dowry Deaths,03. Dowry Deaths,453,705,140,1999,3627,1295,705,593,4220
Chandigarh,2009,Dowry Deaths,03. Dowry Deaths,1,2,2,0,7,2,2,3,10
Chhattisgarh,2009,Dowry Deaths,03. Dowry Deaths,70,136,31,12,356,128,136,101,460
Dadra & Nagar Haveli,2009,Dowry Deaths,03. Dowry Deaths,0,0,0,1,1,0,0,0,1
Daman & Diu,2009,Dowry Deaths,03. Dowry Deaths,0,0,0,0,1,0,0,0,1
Delhi,2009,Dowry Deaths,03. Dowry Deaths,43,144,35,73,860,141,144,78,938
Goa,2009,Dowry Deaths,03. Dowry Deaths,2,2,0,3,8,3,2,2,10
Gujarat,2009,Dowry Deaths,03. Dowry Deaths,19,20,0,6,503,24,20,19,523
Haryana,2009,Dowry Deaths,03. Dowry Deaths,174,253,63,35,515,281,253,237,756
Himachal Pradesh,2009,Dowry Deaths,03. Dowry Deaths,3,2,1,0,21,1,2,4,25
Jammu & Kashmir,2009,Dowry Deaths,03. Dowry Deaths,7,18,1,2,55,12,18,8,63
Jharkhand,2009,Dowry Deaths,03. Dowry Deaths,152,281,80,302,464,295,281,232,700
Karnataka,2009,Dowry Deaths,03. Dowry Deaths,143,205,13,106,602,264,205,156,763
Kerala,2009,Dowry Deaths,03. Dowry Deaths,19,21,2,27,151,20,21,21,172
Lakshadweep,2009,Dowry Deaths,03. Dowry Deaths,0,0,0,0,0,0,0,0,0
Madhya Pradesh,2009,Dowry Deaths,03. Dowry Deaths,409,938,257,66,2024,858,938,666,2697
Maharashtra,2009,Dowry Deaths,03. Dowry Deaths,193,334,30,132,3452,341,334,223,3682
Manipur,2009,Dowry Deaths,03. Dowry Deaths,0,0,0,1,0,0,0,0,0
Meghalaya,2009,Dowry Deaths,03. Dowry Deaths,0,0,0,4,5,0,0,0,5
Mizoram,2009,Dowry Deaths,03. Dowry Deaths,0,0,0,0,0,0,0,0,0
Nagaland,2009,Dowry Deaths,03. Dowry Deaths,0,0,0,0,0,0,0,0,0
Odisha,2009,Dowry Deaths,03. Dowry Deaths,211,346,47,486,1442,384,346,258,1700
Puducherry,2009,Dowry Deaths,03. Dowry Deaths,0,3,1,1,14,0,3,1,15
Punjab,2009,Dowry Deaths,03. Dowry Deaths,60,97,61,105,330,126,97,121,452
Rajasthan,2009,Dowry Deaths,03. Dowry Deaths,135,331,93,46,1563,436,331,228,1822
Sikkim,2009,Dowry Deaths,03. Dowry Deaths,0,0,0,0,0,0,0,0,0
Tamil Nadu,2009,Dowry Deaths,03. Dowry Deaths,149,190,35,115,556,194,190,184,740
Tripura,2009,Dowry Deaths,03. Dowry Deaths,14,27,7,16,81,29,27,21,102
